rank,company,revenue,profit,num. of employees,sector,city,state,Website
251,DISH Network,12807.7,1399.5,16000,Telecommunications,Englewood,CO,https://www.dish.com
252,Lithia Motors,12672.7,271.5,14320,Retailing,Medford,OR,https://www.lithiainvestorrelations.com
253,DTE Energy,12669,1169,10700,Energy,Detroit,MI,https://www.dteenergy.com
254,American Family Insurance Group,12633.2,455.9,13531,Financials,Madison,WI,https://www.amfam.com
255,Farmers Insurance Exchange,12592.5,55.3,10980,Financials,Woodland Hills,CA,https://www.farmers.com
256,Consolidated Edison,12574,1343,14890,Energy,New York,NY,https://www.conedison.com
257,LKQ,12506.1,541.3,51000,Wholesalers,Chicago,IL,https://www.lkqcorp.com
258,Sempra Energy,12443,2197,13969,Energy,San Diego,CA,https://www.sempra.com
259,Edison International,12347,1284,12937,Energy,Rosemead,CA,https://www.edisoninvestor.com
260,CenterPoint Energy,12301,791,14262,Energy,Houston,TX,https://www.centerpointenergy.com
261,Quanta Services,12112.2,402,40300,Engineering & Construction,Houston,TX,https://www.quantaservices.com
262,Murphy USA,12101.3,154.8,7250,Retailing,El Dorado,AR,https://www.murphyusa.com
263,Expedia Group,12067,565,25400,Retailing,Seattle,WA,https://www.expediagroup.com
264,Group 1 Automotive,12043.8,174,15296,Retailing,Houston,TX,https://www.group1auto.com
265,Bed Bath & Beyond,12028.8,-137.2,62000,Retailing,Union,NJ,https://www.bedbathandbeyond.com
266,Unum Group,11998.9,1100.3,10300,Financials,Chattanooga,TN,https://www.unum.com
267,CSX,11937,3331,20908,Transportation,Jacksonville,FL,https://www.csx.com
268,AutoZone,11863.7,1617.2,75840,Retailing,Memphis,TN,https://www.autozone.com
269,Pacific Life,11847,725,3815,Financials,Newport Beach,CA,https://www.pacificlife.com
270,Vistra Energy,11809,928,5475,Energy,Irving,TX,https://www.vistraenergy.com
271,Charles Schwab,11785,3704,19700,Financials,San Francisco,CA,https://www.schwab.com
272,Crown Holdings,11665,510,33043,Materials,Yardley,PA,https://www.crowncork.com
273,Ally Financial,11618,1715,8700,Financials,Detroit,MI,https://www.ally.com
274,Laboratory Corp. of America (Labcorp),11554.8,823.8,65000,Health Care,Burlington,NC,https://www.labcorp.com
275,Live Nation Entertainment,11548,69.9,18200,Media,Beverly Hills,CA,https://www.livenationentertainment.com
276,Xcel Energy,11529,1372,11295,Energy,Minneapolis,MN,https://www.xcelenergy.com
277,Corning,11503,960,49500,Industrials,Corning,NY,https://www.corning.com
278,W.W. Grainger,11486,849,24550,Wholesalers,Lake Forest,IL,https://www.grainger.com
279,Ball,11474,566,18300,Materials,Broomfield,CO,https://www.ball.com
280,Fox,11389,1595,7700,Media,New York,NY,https://www.foxcorporation.com
281,Universal Health Services,11378.3,814.9,79050,Health Care,King of Prussia,PA,https://www.uhsinc.com
282,Baxter International,11362,1001,50000,Health Care,Deerfield,IL,https://www.baxter.com
283,Norfolk Southern,11296,2722,24587,Transportation,Norfolk,VA,https://www.norfolksouthern.com
284,Navistar International,11251,221,12300,Industrials,Lisle,IL,https://www.navistar.com
285,Adobe,11171.3,2951.5,22634,Technology,San Jose,CA,https://www.adobe.com
286,J.C. Penney,11167,-268,90000,Retailing,Plano,TX,https://www.jcpenney.com
287,Discovery,11144,2069,9200,Media,Silver Spring,MD,https://www.corporate.discovery.com
288,Keurig Dr Pepper,11120,1254,25500,"Food, Beverages & Tobacco",Burlington,MA,https://www.keurigdrpepper.com
289,Leidos Holdings,11094,667,34000,Technology,Reston,VA,https://www.leidos.com
290,IQVIA Holdings,11088,191,67000,Health Care,Durham,NC,https://www.iqvia.com
291,Reliance Steel & Aluminum,10973.8,701.5,15300,Materials,Los Angeles,CA,https://www.rsac.com
292,Nvidia,10918,2796,13775,Technology,Santa Clara,CA,https://www.nvidia.com
293,Entergy,10878.7,1241.2,13635,Energy,New Orleans,LA,https://www.entergy.com
294,FirstEnergy,10850,912,12316,Energy,Akron,OH,https://www.firstenergycorp.com
295,eBay,10800,1786,13300,Technology,San Jose,CA,https://www.ebay.com
296,Boston Scientific,10735,4700,36000,Health Care,Marlborough,MA,https://www.bostonscientific.com
297,ODP,10647,99,40000,Retailing,Boca Raton,FL,https://www.officedepot.com
298,Molson Coors Beverage,10579.4,241.7,17700,"Food, Beverages & Tobacco",Denver,CO,https://www.molsoncoors.com
299,Steel Dynamics,10465,671.1,8385,Materials,Fort Wayne,IN,https://www.steeldynamics.com
300,Mutual of Omaha Insurance,10455.7,271.5,6072,Financials,Omaha,NE,https://www.mutualofomaha.com
301,Sonic Automotive,10454.3,144.1,9300,Retailing,Charlotte,NC,https://www.sonicautomotive.com
302,Alcoa,10433,-1125,13800,Materials,Pittsburgh,PA,https://www.alcoa.com
303,Fidelity National Information Services,10333,298,55000,Business Services,Jacksonville,FL,https://www.fisglobal.com
304,Henry Schein,10305.3,694.7,19000,Health Care,Melville,NY,https://www.henryschein.com
305,Republic Services,10299.4,1073.3,36000,Business Services,Phoenix,AZ,https://www.republicservices.com
306,Liberty Media,10292,106,6753,Media,Englewood,CO,https://www.libertymedia.com
307,Peter Kiewit Sons&#8217;,10283,419,23000,Engineering & Construction,Omaha,NE,https://www.kiewit.com
308,Interpublic Group,10221.3,656,54300,Business Services,New York,NY,https://www.interpublic.com
309,PulteGroup,10213,1016.7,5245,Engineering & Construction,Atlanta,GA,https://www.pultegroup.com
310,AES,10189,303,8000,Energy,Arlington,VA,https://www.aes.com
311,Fiserv,10187,893,44000,Business Services,Brookfield,WI,https://www.fiserv.com
312,BorgWarner,10168,746,29000,Motor Vehicles & Parts,Auburn Hills,MI,https://www.borgwarner.com
313,Oneok,10164.4,1278.6,2882,Energy,Tulsa,OK,https://www.oneok.com
314,O&#8217;Reilly Automotive,10150,1391,67663,Retailing,Springfield,MO,https://www.oreillyauto.com
315,Assurant,10086.8,382.6,13900,Financials,New York,NY,https://www.assurant.com
316,Newell Brands,10083.1,106.6,30000,Household Products,Atlanta,GA,https://www.newellbrands.com
317,Public Service Enterprise Group,10076,1693,12992,Energy,Newark,NJ,https://www.pseg.com
318,News Corp.,10074,155,28000,Media,New York,NY,https://www.newscorp.com
319,Calpine,10072,770,2256,Energy,Houston,TX,https://www.calpine.com
320,Auto-Owners Insurance,10007.4,1352.4,6141,Financials,Lansing,MI,https://www.auto-owners.com
321,Mohawk Industries,9970.7,744.2,41800,Household Products,Calhoun,GA,https://www.mohawkind.com
322,PVH,9909,417.3,30750,Apparel,New York,NY,https://www.pvh.com
322,Campbell Soup,9909,211,19000,"Food, Beverages & Tobacco",Camden,NJ,https://www.campbellsoupcompany.com
324,NRG Energy,9871,4438,4577,Energy,Princeton,NJ,https://www.nrg.com
325,Fifth Third Bancorp,9790,2512,19869,Financials,Cincinnati,OH,https://www.53.com
326,Hertz Global Holdings,9779,-58,38000,Retailing,Estero,FL,https://www.hertz.com
327,Altice USA,9760.9,138.9,10700,Telecommunications,Long Island City,NY,https://www.alticeusa.com
328,Newmont,9740,2805,16600,Energy,Greenwood Village,CO,https://www.newmont.com
329,Cheniere Energy,9730,648,1530,Energy,Houston,TX,https://www.cheniere.com
330,Advance Auto Parts,9709,486.9,53000,Retailing,Raleigh,NC,https://www.advanceautoparts.com
331,Lam Research,9653.6,2191.4,10700,Technology,Fremont,CA,https://www.lamresearch.com
332,Owens & Minor,9650,-62.4,15400,Health Care,Mechanicsville,VA,https://www.owens-minor.com
333,Equitable Holdings,9591,-1733,10100,Financials,New York,NY,https://www.equitableholdings.com
334,Conagra Brands,9538.4,678.3,18000,"Food, Beverages & Tobacco",Chicago,IL,https://www.conagrabrands.com
335,Markel,9526.2,1790.5,18600,Financials,Glen Allen,VA,https://www.markelcorp.com
336,Jones Financial (Edward Jones),9526,1092,49000,Financials,Des Peres,MO,https://www.edwardjones.com/index.html
337,Hormel Foods,9497.3,978.8,18800,"Food, Beverages & Tobacco",Austin,MN,https://www.hormelfoods.com
338,Hilton Worldwide Holdings,9452,881,173000,"Hotels, Restaurants & Leisure",McLean,VA,https://www.hilton.com
339,Univar Solutions,9443.8,-100.2,10300,Wholesalers,Downers Grove,IL,https://www.univarsolutions.com
340,United Rentals,9351,1174,19100,Business Services,Stamford,CT,https://www.unitedrentals.com
341,Pioneer Natural Resources,9304,756,2323,Energy,Irving,TX,https://www.pxd.com
342,Delek US Holdings,9298.2,310.6,3707,Energy,Brentwood,TN,https://www.delekus.com
343,Eastman Chemical,9273,759,14500,Chemicals,Kingsport,TN,https://www.eastman.com
344,EMCOR Group,9174.6,325.1,36000,Engineering & Construction,Norwalk,CT,https://www.emcorgroup.com
345,Avis Budget Group,9172,302,25600,Retailing,Parsippany,NJ,https://www.avisbudgetgroup.com
346,J.B. Hunt Transport Services,9165.3,516.3,29056,Transportation,Lowell,AR,https://www.jbhunt.com
347,Xerox Holdings,9145,1353,27000,Technology,Norwalk,CT,https://www.xerox.com
348,Wayfair,9127.1,-984.6,16985,Retailing,Boston,MA,https://www.wayfair.com
349,KKR,9120.3,2005,1384,Financials,New York,NY,https://www.kkr.com
350,AGCO,9041.4,125.2,20961,Industrials,Duluth,GA,https://www.agcocorp.com
351,Alleghany,9040.7,857.8,10786,Financials,New York,NY,https://www.alleghany.com
352,Icahn Enterprises,8992,-1098,28033,Financials,New York,NY,https://www.ielp.com
353,Voya Financial,8942,-351,6000,Financials,New York,NY,https://www.voya.com
354,Ryder System,8925.8,-24.4,39900,Transportation,Miami,FL,https://www.ryder.com
355,Air Products & Chemicals,8918.9,1760,17570,Chemicals,Allentown,PA,https://www.airproducts.com
356,Mosaic,8906.3,-1067.4,12600,Chemicals,Tampa,FL,https://www.mosaicco.com
357,Huntington Ingalls Industries,8899,549,42000,Aerospace & Defense,Newport News,VA,https://www.huntingtoningalls.com
358,Berry Global Group,8878,404,48000,Materials,Evansville,IN,https://www.berryglobal.com
359,Anixter International,8845.6,262.9,9400,Wholesalers,Glenview,IL,https://www.anixter.com
360,Alaska Air Group,8781,769,24134,Transportation,Seattle,WA,https://www.alaskaair.com
361,Yum China Holdings,8776,713,450000,"Hotels, Restaurants & Leisure",Plano,TX,https://ir.yumchina.com
362,Dick&#8217;s Sporting Goods,8750.7,297.5,28450,Retailing,Coraopolis,PA,https://www.dickssportinggoods.com
363,Caesars Holdings,8742,-1195,64000,"Hotels, Restaurants & Leisure",Las Vegas,NV,https://www.caesars.com
364,Genworth Financial,8681,343,3100,Financials,Richmond,VA,https://www.genworth.com
365,Targa Resources,8671.1,-209.2,2680,Energy,Houston,TX,https://www.targaresources.com
366,Coty,8648.5,-3784.2,19000,Household Products,New York,NY,https://www.coty.com
367,Dana,8620,226,36300,Motor Vehicles & Parts,Maumee,OH,https://www.dana.com
368,Thrivent Financial for Lutherans,8611.7,968.1,3235,Financials,Minneapolis,MN,https://www.thrivent.com
369,Autoliv,8547.6,461.5,61957,Motor Vehicles & Parts,Auburn Hills,MI,https://www.autoliv.com
370,SpartanNash,8536.1,5.7,13800,Wholesalers,Byron Center,MI,https://www.spartannash.com
371,Eversource Energy,8526.5,909.1,8234,Energy,Springfield,MA,https://www.eversource.com
372,Darden Restaurants,8510.4,713.4,184514,"Hotels, Restaurants & Leisure",Orlando,FL,https://www.darden.com
373,Chesapeake Energy,8489,-308,2300,Energy,Oklahoma City,OK,https://www.chk.com
374,NOV,8479,-6095,34645,Energy,Houston,TX,https://www.nov.com
375,Fidelity National Financial,8469,1062,23484,Financials,Jacksonville,FL,https://www.fnf.com
376,Erie Insurance Group,8443.3,551,5778,Financials,Erie,PA,https://www.erieinsurance.com
377,Oshkosh,8382,579.4,15400,Industrials,Oshkosh,WI,https://www.oshkoshcorp.com
378,Casey&#8217;s General Stores,8364.9,203.9,26866,Retailing,Ankeny,IA,https://www.caseys.com
379,WESCO International,8358.9,223.4,9500,Wholesalers,Pittsburgh,PA,https://www.wesco.com
380,Tractor Supply,8351.9,562.4,24000,Retailing,Brentwood,TN,https://www.tractorsupply.com
381,CommScope Holding,8345.1,-929.5,30000,Technology,Hickory,NC,https://www.commscope.com
382,Huntsman,8342,562,10000,Chemicals,The Woodlands,TX,https://www.huntsman.com
383,American Financial Group,8237,897,7700,Financials,Cincinnati,OH,https://www.afginc.com
384,Masco,8235,935,22000,Household Products,Livonia,MI,https://www.masco.com
385,Sanmina,8233.9,141.5,38500,Technology,San Jose,CA,https://www.sanmina.com
386,Amphenol,8225.4,1155,74000,Technology,Wallingford,CT,https://www.amphenol.com
387,Williams,8201,850,4812,Energy,Tulsa,OK,https://www.williams.com
388,Westinghouse Air Brake,8200,326.7,27500,Industrials,Pittsburgh,PA,https://www.wabteccorp.com
389,Expeditors Intl. of Washington,8175.4,590.4,18000,Transportation,Seattle,WA,https://www.expeditors.com
390,Andersons,8170.2,18.3,2284,"Food, Beverages & Tobacco",Maumee,OH,https://www.andersonsinc.com
391,Westlake Chemical,8118,421,9430,Chemicals,Houston,TX,https://www.westlake.com
392,Constellation Brands,8116,3435.9,9800,"Food, Beverages & Tobacco",Victor,NY,https://www.cbrands.com
393,Frontier Communications,8107,-5911,18317,Telecommunications,Norwalk,CT,https://www.frontier.com
394,JetBlue Airways,8094,569,19032,Transportation,Long Island City,NY,https://www.jetblue.com
395,Citizens Financial Group,8066,1791,17997,Financials,Providence,RI,https://www.citizensbank.com
396,Raymond James Financial,8023,1034,14200,Financials,St. Petersburg,FL,https://www.raymondjames.com
397,Foot Locker,8005,491,33294,Retailing,New York,NY,https://www.footlocker-inc.com
398,Hershey,7986.3,1149.7,15330,"Food, Beverages & Tobacco",Hershey,PA,https://www.thehersheycompany.com
399,Zimmer Biomet Holdings,7982.2,1131.6,19900,Health Care,Warsaw,IN,https://www.zimmerbiomet.com
400,Cincinnati Financial,7924.2,1997.4,5200,Financials,Fairfield,OH,https://www.cinfin.com
401,Western & Southern Financial Group,7920.5,244.9,2787,Financials,Cincinnati,OH,https://www.westernsouthern.com
402,W.R. Berkley,7902.2,681.9,7493,Financials,Greenwich,CT,https://www.berkley.com
403,Motorola Solutions,7887,868,17000,Technology,Chicago,IL,https://www.motorolasolutions.com
404,Thor Industries,7864.8,133.3,21750,Motor Vehicles & Parts,Elkhart,IN,https://www.thorindustries.com
405,Regeneron Pharmaceuticals,7863.4,2115.8,8100,Health Care,Tarrytown,NY,https://www.regeneron.com
406,Spirit AeroSystems Holdings,7863.1,530.1,18200,Aerospace & Defense,Wichita,KS,https://www.spiritaero.com
407,J.M. Smucker,7838,514.4,7400,"Food, Beverages & Tobacco",Orrville,OH,https://www.jmsmucker.com
408,PPL,7769,1746,12280,Energy,Allentown,PA,https://www.pplweb.com
409,Insight Enterprises,7731.2,159.4,11261,Technology,Tempe,AZ,https://www.insight.com
410,Quest Diagnostics,7726,858,47000,Health Care,Secaucus,NJ,https://www.questdiagnostics.com
411,KeyCorp,7694,1717,17045,Financials,Cleveland,OH,https://www.key.com
412,Veritiv,7659.4,-29.5,8000,Wholesalers,Atlanta,GA,https://www.veritivcorp.com
413,DCP Midstream,7625,17,2250,Energy,Denver,CO,https://www.dcpmidstream.com
414,American Tower,7580.3,1887.8,5454,Financials,Boston,MA,https://www.americantower.com
415,Graybar Electric,7523.9,144.5,9000,Wholesalers,St. Louis,MO,https://www.graybar.com
416,WEC Energy Group,7523.1,1134,7509,Energy,Milwaukee,WI,https://www.wecenergygroup.com
417,NVR,7428.4,878.5,5700,Engineering & Construction,Reston,VA,https://www.nvrinc.com
418,Ulta Beauty,7398.1,705.9,31000,Retailing,Bolingbrook,IL,https://www.ulta.com
419,Devon Energy,7372,-355,1800,Energy,Oklahoma City,OK,https://www.devonenergy.com
420,Blackstone Group,7338.3,2049.7,2905,Financials,New York,NY,https://www.blackstone.com
421,Dean Foods,7328.7,-499.9,14500,"Food, Beverages & Tobacco",Dallas,TX,https://www.deanfoods.com
422,Fortive,7326.1,738.9,25000,Industrials,Everett,WA,https://www.fortive.com
423,UGI,7320.4,256.2,12800,Energy,King of Prussia,PA,https://www.ugicorp.com
424,Burlington Stores,7286.4,465.1,47000,Retailing,Burlington,NJ,https://www.burlingtoninvestors.com
425,Builders FirstSource,7280.4,221.8,15800,Materials,Dallas,TX,https://www.bldr.com
426,Toll Brothers,7224,590,5100,Engineering & Construction,Horsham,PA,https://www.tollbrothers.com
427,Old Republic International,7213.7,1056.4,9000,Financials,Chicago,IL,https://www.oldrepublic.com
428,Asbury Automotive Group,7210.3,184.4,8500,Retailing,Duluth,GA,https://www.asburyauto.com
429,Arthur J. Gallagher,7195,668.8,33247,Financials,Rolling Meadows,IL,https://www.ajg.com
430,MasTec,7183.2,392.3,21000,Engineering & Construction,Coral Gables,FL,https://www.mastec.com
431,Owens Corning,7160,405,19000,Materials,Toledo,OH,https://www.owenscorning.com
432,Magellan Health,7159.4,55.9,10100,Health Care,Phoenix,AZ,https://www.magellanhealth.com
433,Dover,7136.4,677.9,24000,Industrials,Downers Grove,IL,https://www.dovercorporation.com
434,Beacon Roofing Supply,7105.2,-10.6,8147,Wholesalers,Herndon,VA,https://www.becn.com
435,Avery Dennison,7070.1,303.6,30000,Materials,Glendale,CA,https://www.averydennison.com
436,Hanesbrands,6966.9,600.7,63000,Apparel,Winston-Salem,NC,https://www.hanes.com
437,Packaging Corp. of America,6964.3,696.4,15500,Materials,Lake Forest,IL,https://www.packagingcorp.com
438,M&T Bank,6941.3,1929.1,17386,Financials,Buffalo,NY,https://www.mtb.com
439,NCR,6915,564,36000,Technology,Atlanta,GA,https://www.ncr.com
440,Northern Trust,6895.1,1492.2,19800,Financials,Chicago,IL,https://www.northerntrust.com
441,Cintas,6892.3,885,45000,Business Services,Cincinnati,OH,https://www.cintas.com
442,Polaris,6863.4,324,14000,Transportation,Medina,MN,https://www.polaris.com
443,CMS Energy,6845,680,8459,Energy,Jackson,MI,https://www.cmsenergy.com
444,Seaboard,6840,283,13100,"Food, Beverages & Tobacco",Merriam,KS,https://www.seaboardcorp.com
445,Intuit,6784,1557,9400,Technology,Mountain View,CA,https://www.intuit.com
446,Regions Financial,6755,1582,19564,Financials,Birmingham,AL,https://www.regions.com
447,FM Global,6743.1,2479.3,5591,Financials,Johnston,RI,https://www.fmglobal.com
448,Advanced Micro Devices (AMD),6731,341,11400,Technology,Santa Clara,CA,https://www.amd.com
449,Ovintiv,6726,234,2571,Energy,Denver,CO,https://www.ovintiv.com
450,Booz Allen Hamilton Holding,6704,418.5,26100,Technology,McLean,VA,https://www.boozallen.com
451,S&P Global,6699,2123,22500,Business Services,New York,NY,https://www.spglobal.com
452,Rockwell Automation,6694.8,695.8,23000,Industrials,Milwaukee,WI,https://www.rockwellautomation.com
453,O-I Glass,6691,-400,27500,Materials,Perrysburg,OH,https://www.o-i.com
454,Wynn Resorts,6611.1,123,30200,"Hotels, Restaurants & Leisure",Las Vegas,NV,https://www.wynnresorts.com
455,Securian Financial Group,6600.6,434.8,6400,Financials,St. Paul,MN,https://www.securian.com
456,Alliance Data Systems,6580.9,278,8500,Business Services,Columbus,OH,https://www.alliancedata.com
457,Weyerhaeuser,6554,-76,9400,Materials,Seattle,WA,https://www.weyerhaeuser.com
457,Brighthouse Financial,6554,-740,1330,Financials,Charlotte,NC,https://www.brighthousefinancial.com
459,Intercontinental Exchange,6547,1933,5989,Financials,Atlanta,GA,https://www.intercontinentalexchange.com
460,American Axle & Manufacturing,6530.9,-484.5,20000,Motor Vehicles & Parts,Detroit,MI,https://www.aam.com
461,Hess,6510,-408,1775,Energy,New York,NY,https://www.hess.com
462,ABM Industries,6498.6,127.4,140000,Business Services,New York,NY,https://www.abm.com
463,Activision Blizzard,6489,1503,9200,Media,Santa Monica,CA,https://www.activisionblizzard.com
464,GameStop,6466,-470.9,30000,Retailing,Grapevine,TX,https://www.gamestop.com
465,APA,6411,-3553,3163,Energy,Houston,TX,https://apacorp.com/
466,Science Applications International,6379,226,24311,Technology,Reston,VA,https://www.saic.com
467,AK Steel Holding,6359.4,11.2,9300,Materials,West Chester,OH,https://www.aksteel.com
468,Dillard&#8217;s,6343.2,111.1,30400,Retailing,Little Rock,AR,https://www.dillards.com
469,Ralph Lauren,6313,430.9,18650,Apparel,New York,NY,https://www.ralphlauren.com
470,Celanese,6297,852,7714,Chemicals,Irving,TX,https://www.celanese.com
471,R.R. Donnelley & Sons,6276.2,-93.2,36400,Media,Chicago,IL,https://www.rrd.com
472,Zoetis,6260,1500,10600,Health Care,Parsippany,NJ,https://www.zoetis.com
473,Ascena Retail Group,6242.8,-661.4,33000,Retailing,Mahwah,NJ,https://www.ascenaretail.com
474,Clorox,6214,820,8800,Household Products,Oakland,CA,https://www.thecloroxcompany.com
475,Ingredion,6209,413,11000,"Food, Beverages & Tobacco",Westchester,IL,https://www.ingredion.com
476,First American Financial,6202.1,707.4,18412,Financials,Santa Ana,CA,https://www.firstam.com
477,Graphic Packaging Holding,6160.1,206.8,18000,Materials,Atlanta,GA,https://www.graphicpkg.com
478,NetApp,6146,1169,10500,Technology,Sunnyvale,CA,https://www.netapp.com
478,HD Supply Holdings,6146,452,11500,Wholesalers,Atlanta,GA,https://www.hdsupply.com
480,TravelCenters of America,6117.4,33.3,18594,Retailing,Westlake,OH,https://www.ta-petro.com
481,Olin,6110,-11.3,6500,Chemicals,Clayton,MO,https://www.olin.com
482,Robert Half International,6074.4,454.4,16000,Business Services,Menlo Park,CA,https://www.roberthalf.com
483,EnLink Midstream,6052.9,-1119.3,1355,Energy,Dallas,TX,https://www.enlink.com
484,Avantor,6040.3,37.8,12000,Technology,Radnor,PA,https://www.avantorsciences.com
485,Tapestry,6027.1,643.4,17400,Apparel,New York,NY,https://www.tapestry.com
486,TD Ameritrade Holding,6016,2208,9226,Financials,Omaha,NE,https://www.amtd.com
487,Analog Devices,5991.1,1363,16400,Technology,Norwood,MA,https://www.analog.com
488,Ameren,5910,828,9323,Energy,St. Louis,MO,https://www.ameren.com
489,Williams-Sonoma,5898,356.1,19300,Retailing,San Francisco,CA,https://www.williams-sonomainc.com
490,Realogy Holdings,5870,-188,10150,Financials,Madison,NJ,https://www.realogy.com
491,Commercial Metals,5829,198.1,11524,Materials,Irving,TX,https://www.cmc.com
492,Rush Enterprises,5809.8,141.6,7244,Retailing,New Braunfels,TX,https://www.rushenterprises.com
493,Franklin Resources,5774.5,1195.7,9597,Financials,San Mateo,CA,https://www.franklinresources.com
494,Fortune Brands Home & Security,5764.6,431.9,24700,Household Products,Deerfield,IL,https://www.fbhs.com
495,Levi Strauss,5763.1,394.6,15800,Apparel,San Francisco,CA,https://www.levistrauss.com
496,Crown Castle International,5763,860,5100,Financials,Houston,TX,https://www.crowncastle.com
497,Simon Property Group,5755.2,2101.6,3750,Financials,Indianapolis,IN,https://www.simon.com
498,Cerner,5692.6,529.5,27400,Health Care,North Kansas City,MO,https://www.cerner.com
499,Post Holdings,5681.1,124.7,10100,"Food, Beverages & Tobacco",St. Louis,MO,https://www.postholdings.com
500,Huntington Bancshares,5655,1411,15664,Financials,Columbus,OH,https://www.huntington.com
